epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5991,3.4773,3.62282,2.71611,0,0,0,0,0,0,0,0.067495,0.000663366,0.000663366
2,100.21,2.78742,2.86904,2.26494,0,0,0,0,0,0,0,0.034802,0.0013037,0.0013037
3,144.125,2.45605,2.44474,2.08756,0,0,0,0,0,0,0,0.00208265,0.00191763,0.00191763
4,187.334,2.22385,2.1755,2.01829,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,229.706,2.10588,2.05144,1.93338,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,270.483,1.98883,1.93365,1.8764,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,307.365,1.94259,1.84644,1.87011,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,352.475,1.86466,1.72968,1.80408,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,394.991,1.78422,1.67389,1.80143,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,435.728,1.75106,1.59451,1.7398,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,478.953,1.71297,1.59658,1.71699,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,522.303,1.64785,1.50973,1.69114,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,591.647,1.62769,1.46214,1.70661,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,635.604,1.58937,1.45194,1.69413,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,682.125,1.58559,1.41196,1.65525,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,721.923,1.5212,1.37831,1.64267,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,765.405,1.54127,1.36169,1.61968,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,806.595,1.52583,1.3315,1.61724,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,848.554,1.50264,1.33691,1.5799,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,890.968,1.47972,1.29988,1.60274,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,932.545,1.44641,1.26411,1.57761,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,972.826,1.42877,1.24737,1.58133,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,1013.75,1.4275,1.21212,1.55463,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,1055.09,1.41973,1.22529,1.54754,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,1097.78,1.38691,1.19699,1.50811,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,1142.47,1.37195,1.17947,1.54684,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,1183.26,1.38099,1.1873,1.5217,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,1224.73,1.34543,1.14213,1.5059,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,1266.03,1.3428,1.14646,1.53192,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,1307.06,1.35914,1.14871,1.51178,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,1351.15,1.29734,1.1058,1.4767,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,1393.84,1.31377,1.10618,1.48873,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,1436.56,1.29427,1.08717,1.47675,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,1479.17,1.3009,1.08175,1.48908,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,1521.48,1.2873,1.09856,1.49195,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,1560.27,1.30177,1.09104,1.49108,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,1601.87,1.2771,1.05953,1.45768,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,1643.32,1.27353,1.05873,1.4493,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,1686.23,1.28459,1.06201,1.44927,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,1728.05,1.25614,1.05002,1.45367,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,1772.6,1.20208,1.03249,1.48746,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,1808.62,1.21431,1.01714,1.47938,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,1848.85,1.18992,0.99761,1.47034,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,1889.53,1.18318,0.99892,1.47417,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,1930.87,1.17433,0.98376,1.46716,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,1971.41,1.16956,0.97679,1.44221,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,2008.68,1.15055,0.95868,1.45361,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,2049.29,1.15651,0.96339,1.43603,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,2091.64,1.14636,0.9689,1.47032,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,2161.45,1.13827,0.94565,1.45207,0.70102,0.50781,0.54292,0.38137,1.11851,1.05576,1.50874,5.96e-05,5.96e-05,5.96e-05
