epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9888,3.44483,3.56331,2.68536,0,0,0,0,0,0,0,0.067495,0.000663366,0.000663366
2,94.1351,2.74185,2.80616,2.29057,0,0,0,0,0,0,0,0.034802,0.0013037,0.0013037
3,134.669,2.4247,2.37853,2.10478,0,0,0,0,0,0,0,0.00208265,0.00191763,0.00191763
4,175.332,2.17331,2.12207,2.0164,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,213.869,2.06167,1.98618,1.92883,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,251.727,1.94682,1.89886,1.86718,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,289.27,1.88371,1.80197,1.86292,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,329.406,1.80998,1.68662,1.79683,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,368.371,1.7484,1.63935,1.78828,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,406.833,1.71353,1.57717,1.71842,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,445.991,1.68934,1.57414,1.7141,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,485.468,1.63015,1.50286,1.68424,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,549.754,1.60052,1.44512,1.70211,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,589.03,1.55837,1.44019,1.67919,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,627.814,1.56333,1.40395,1.64578,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,667.531,1.50331,1.37101,1.62069,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,705.611,1.52002,1.35454,1.60833,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,743.576,1.50554,1.32063,1.60004,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,782.718,1.47222,1.31744,1.5568,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,820.712,1.46478,1.292,1.58159,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,858.873,1.42805,1.25027,1.56577,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,897.496,1.41764,1.23355,1.55538,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,936.796,1.41235,1.20702,1.53305,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,974.472,1.38863,1.21329,1.51787,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,1014.35,1.36069,1.17742,1.48709,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,1054.83,1.35432,1.17333,1.51869,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,1092.47,1.35968,1.18124,1.49567,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,1131.48,1.32526,1.13532,1.47551,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,1170.67,1.31504,1.13601,1.50292,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,1209.26,1.34325,1.14194,1.4878,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,1248.86,1.28001,1.10323,1.45885,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,1287.08,1.30059,1.09849,1.46139,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,1324.36,1.27505,1.07894,1.45033,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,1364.18,1.277,1.06723,1.46375,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,1404.05,1.26999,1.09465,1.46308,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,1442.56,1.28543,1.08573,1.47005,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,1480.6,1.26492,1.05643,1.43659,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,1517.8,1.25694,1.05418,1.42383,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,1555.27,1.27482,1.06035,1.42532,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,1592.63,1.23868,1.0449,1.43474,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,1632.32,1.19859,1.03392,1.46029,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,1668.91,1.19827,1.01004,1.44898,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,1704.97,1.17543,1.00129,1.43823,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,1742.48,1.17116,0.99636,1.44358,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,1779.57,1.16225,0.97811,1.43092,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,1815.41,1.15567,0.97379,1.41508,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,1851.92,1.13954,0.95449,1.42533,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,1888.66,1.14627,0.96237,1.41104,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,1926.7,1.1367,0.96368,1.43782,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,1989.78,1.12864,0.9422,1.4215,0.71207,0.52833,0.55381,0.39234,1.10276,1.04881,1.4761,5.96e-05,5.96e-05,5.96e-05
